Romana,English
abstracție,abstraction
acreditare,accreditation
adjudecare,adjudication
afinitate,affinity
aglomerație,congestion
altruism,altruism
amortizare,amortization
analoagă,analogous
anticipare,anticipation
aproximare,approximation
arbitrar,arbitrary
aservire,subjugation
asimilare,assimilation
autenticitate,authenticity
avertisment,admonition
categorizare,categorization
cauzalitate,causality
ciclicitate,cyclicality
coerență,coherence
coliziune,collision
compensație,compensation
complexitate,complexity
complicitate,complicity
conceput,conceptualized
concizie,conciseness
concurență,competition
configurație,configuration
confirmare,corroboration
conformitate,compliance
conjunctură,conjuncture
consecvent,consistent
constituire,constitution
contagiune,contagion
contingență,contingency
contradicție,contradiction
controversă,controversy
convergență,convergence
corelare,correlation
cumulativ,cumulative
definire,definition
delimitare,demarcation
deplasare,displacement
depravat,depraved
derogare,derogation
desfășurare,unfolding
detenție,detention
deviație,deviation
dialectică,dialectics
discrepanță,discrepancy
diseminare,dissemination
disonanță,dissonance
dizolvare,dissolution
ecuație,equation
efemer,ephemeral
efervescență,effervescence
elasticitate,elasticity
elucidare,elucidation
empatie,empathy
enclavă,enclave
enumerare,enumeration
epistemologie,epistemology
eradicare,eradication
escaladare,escalation
etichetare,labeling
evanescență,evanescence
exacerbare,exacerbation
excentricitate,eccentricity
exonerare,exoneration
expediție,expedition
exploatare,exploitation
extenuare,exhaustion
falsificabil,falsifiable
fluctuație,fluctuation
formidabil,formidable
fragmentare,fragmentation
fraternitate,fraternity
generic,generic
hibernare,hibernation
homogenitate,homogeneity
idealism,idealism
idiosincrazie,idiosyncrasy
ignoranță,ignorance
impetuos,impetuous
incoerență,incoherence
indeterminare,indeterminacy
ineluctabil,ineluctable
infailibil,infalible
influențabil,suggestible
insurgență,insurgency
interdependență,interdependence
intermitent,intermittent
intrinsec,intrinsic
introspecție,introspection
irreversibil,irreversible
jurisprudență,jurisprudence
literație,literacy
marginalizare,marginalization
metamorfoză,metamorphosis
meticulozitate,meticulousness
paradoxal,paradoxical
preeminență,preeminence
prerogativă,prerogative
probabilistic,probabilistic
proliferare,proliferation
rafinament,refinement
sintaxă,syntax
subversiv,subversive